# 
# -f(x)	p	l1	l2	pN	l1N	l2N	qd_pl	qd_bp	qd_bl
# -----------------------------------------------------------------------------
-4.00	0.46	0.36	0.80	0.35	0.17	0.56	0.00	0.04	0.04
-4.00	0.78	0.57	0.78	0.69	0.13	0.30	0.00	0.03	0.03
-4.00	0.58	0.80	0.43	0.67	0.48	0.16	0.00	0.03	0.05
-4.00	0.44	0.49	0.79	0.36	0.28	0.59	0.00	0.02	0.02
-4.00	0.52	0.30	0.52	0.62	0.63	0.82	0.00	0.04	0.02
-4.00	0.33	0.18	0.32	0.43	0.70	0.85	0.00	0.04	0.04
-4.00	0.37	0.65	0.88	0.28	0.28	0.66	0.00	0.04	0.03
-3.99	0.52	0.17	0.29	0.57	0.43	0.60	0.00	0.01	0.01
-3.99	0.57	0.44	0.85	0.40	0.16	0.50	0.00	0.07	0.07
-3.99	0.19	0.88	0.62	0.36	0.42	0.13	0.00	0.08	0.08
-3.99	0.66	0.35	0.69	0.56	0.18	0.47	0.00	0.03	0.01
-3.99	0.31	0.11	0.71	0.39	0.21	0.83	0.00	0.01	0.02
-3.99	0.47	0.56	0.26	0.41	0.68	0.41	0.00	0.01	0.01
-3.99	0.50	0.79	0.62	0.55	0.34	0.21	0.00	0.01	0.03
-3.99	0.18	0.83	0.55	0.33	0.33	0.10	0.00	0.08	0.06
