# 
# -f(x)	p	l1	l2	pN	l1N	l2N	qd_pl	qd_bp	qd_bl
# -----------------------------------------------------------------------------
-4.00	0.50	0.81	0.54	0.62	0.46	0.19	0.00	0.05	0.05
-4.00	0.50	0.54	0.81	0.38	0.19	0.46	0.00	0.05	0.05
-4.00	0.50	0.54	0.81	0.38	0.19	0.46	0.00	0.05	0.05
-4.00	0.50	0.46	0.19	0.38	0.81	0.54	0.00	0.05	0.05
-4.00	0.50	0.46	0.19	0.38	0.81	0.54	0.00	0.05	0.05
-4.00	0.50	0.19	0.46	0.62	0.54	0.81	0.00	0.05	0.05
-4.00	0.50	0.19	0.46	0.62	0.54	0.81	0.00	0.05	0.05
-4.00	0.50	0.81	0.54	0.62	0.46	0.19	0.00	0.05	0.05
-4.00	0.50	0.81	0.54	0.62	0.46	0.19	0.00	0.05	0.05
-4.00	0.50	0.81	0.54	0.62	0.46	0.19	0.00	0.05	0.05
-4.00	0.50	0.46	0.19	0.38	0.81	0.54	0.00	0.05	0.05
-4.00	0.50	0.81	0.54	0.62	0.46	0.19	0.00	0.05	0.05
-4.00	0.50	0.54	0.81	0.38	0.19	0.46	0.00	0.05	0.05
-4.00	0.50	0.81	0.54	0.62	0.46	0.19	0.00	0.05	0.05
-4.00	0.50	0.46	0.19	0.38	0.81	0.54	0.00	0.05	0.05
