# 
# -f(x)	p	l1	l2	pN	l1N	l2N	qd_pl	qd_bp	qd_bl
# -----------------------------------------------------------------------------
-3.98	0.66	0.43	0.08	0.45	0.86	0.45	0.00	0.11	0.13
-3.98	0.41	0.73	0.14	0.17	0.90	0.51	0.01	0.17	0.11
-3.98	0.74	0.54	0.88	0.50	0.11	0.37	0.01	0.16	0.09
-3.97	0.61	0.83	0.55	0.72	0.34	0.14	0.00	0.05	0.08
-3.97	0.58	0.62	0.18	0.36	0.92	0.49	0.01	0.12	0.11
-3.97	0.46	0.82	0.64	0.65	0.35	0.15	0.01	0.13	0.06
-3.97	0.35	0.83	0.17	0.17	0.83	0.42	0.02	0.12	0.09
-3.97	0.46	0.81	0.43	0.61	0.45	0.16	0.00	0.06	0.06
-3.97	0.45	0.39	0.80	0.32	0.14	0.43	0.00	0.05	0.06
-3.97	0.81	0.55	0.88	0.63	0.21	0.65	0.01	0.10	0.05
-3.97	0.25	0.93	0.55	0.47	0.43	0.10	0.01	0.12	0.13
-3.97	0.54	0.08	0.41	0.73	0.28	0.78	0.00	0.10	0.07
-3.97	0.41	0.53	0.82	0.21	0.07	0.28	0.01	0.16	0.11
-3.96	0.50	0.10	0.37	0.70	0.31	0.82	0.03	0.13	0.09
-3.96	0.76	0.58	0.92	0.50	0.19	0.85	0.02	0.17	0.14
