# 
# -f(x)	p	l1	l2	pN	l1N	l2N	qd_pl	qd_bp	qd_bl
# -----------------------------------------------------------------------------
-4.00	0.47	0.58	0.88	0.27	0.12	0.42	0.00	0.14	0.13
-4.00	0.53	0.12	0.42	0.73	0.58	0.88	0.00	0.14	0.13
-4.00	0.47	0.42	0.12	0.27	0.88	0.58	0.00	0.14	0.13
-4.00	0.47	0.42	0.12	0.27	0.88	0.58	0.00	0.14	0.13
-4.00	0.53	0.88	0.58	0.73	0.42	0.12	0.00	0.14	0.13
-4.00	0.47	0.42	0.12	0.27	0.88	0.58	0.00	0.14	0.13
-4.00	0.47	0.58	0.88	0.27	0.12	0.42	0.00	0.14	0.13
-4.00	0.53	0.88	0.58	0.73	0.42	0.12	0.00	0.14	0.13
-4.00	0.53	0.12	0.42	0.73	0.58	0.88	0.00	0.14	0.13
-4.00	0.47	0.58	0.88	0.27	0.12	0.42	0.00	0.14	0.13
-4.00	0.53	0.12	0.42	0.73	0.58	0.88	0.00	0.14	0.13
-4.00	0.53	0.12	0.42	0.73	0.58	0.88	0.00	0.14	0.13
-4.00	0.53	0.12	0.42	0.73	0.58	0.88	0.00	0.14	0.13
-4.00	0.53	0.12	0.42	0.73	0.58	0.88	0.00	0.14	0.13
-4.00	0.53	0.12	0.42	0.73	0.58	0.88	0.00	0.14	0.13
