# 
# -f(x)	p	l1	l2	pN	l1N	l2N	qd_pl	qd_bp	qd_bl
# -----------------------------------------------------------------------------
-3.96	0.75	0.46	0.13	0.51	0.90	0.43	0.01	0.16	0.18
-3.95	0.31	0.08	0.39	0.62	0.43	0.87	0.01	0.24	0.15
-3.95	0.25	0.09	0.32	0.48	0.48	0.88	0.01	0.15	0.17
-3.94	0.16	0.92	0.48	0.46	0.61	0.10	0.02	0.26	0.14
-3.94	0.65	0.29	0.11	0.38	0.87	0.51	0.04	0.23	0.16
-3.94	0.16	0.17	0.54	0.45	0.27	0.89	0.05	0.29	0.19
-3.94	0.34	0.57	0.13	0.14	0.80	0.51	0.02	0.19	0.12
-3.94	0.43	0.93	0.59	0.71	0.33	0.07	0.00	0.21	0.23
-3.93	0.63	0.14	0.78	0.86	0.51	0.82	0.04	0.18	0.16
-3.93	0.56	0.92	0.28	0.86	0.50	0.07	0.01	0.20	0.18
-3.93	0.67	0.88	0.45	0.87	0.53	0.24	0.03	0.20	0.12
-3.93	0.51	0.33	0.08	0.22	0.91	0.46	0.04	0.29	0.21
-3.93	0.70	0.69	0.91	0.40	0.14	0.43	0.03	0.26	0.11
-3.93	0.46	0.85	0.61	0.68	0.32	0.13	0.01	0.16	0.08
-3.92	0.32	0.94	0.79	0.59	0.50	0.12	0.01	0.21	0.20
