# 
# -f(x)	p	l1	l2	pN	l1N	l2N	qd_pl	qd_bp	qd_bl
# -----------------------------------------------------------------------------
-3.98	0.79	0.48	0.10	0.51	0.91	0.39	0.01	0.22	0.20
-3.98	0.79	0.48	0.10	0.51	0.91	0.39	0.01	0.22	0.20
-3.98	0.21	0.90	0.52	0.49	0.61	0.09	0.01	0.22	0.20
-3.98	0.21	0.10	0.48	0.49	0.39	0.91	0.01	0.22	0.20
-3.98	0.79	0.48	0.10	0.51	0.91	0.39	0.01	0.22	0.20
-3.98	0.21	0.90	0.52	0.49	0.61	0.09	0.01	0.22	0.20
-3.98	0.79	0.52	0.90	0.51	0.09	0.61	0.01	0.22	0.20
-3.98	0.79	0.52	0.90	0.51	0.09	0.61	0.01	0.22	0.20
-3.98	0.79	0.48	0.10	0.51	0.91	0.39	0.01	0.22	0.20
-3.98	0.21	0.90	0.52	0.49	0.61	0.09	0.01	0.22	0.20
-3.98	0.79	0.52	0.90	0.51	0.09	0.61	0.01	0.22	0.20
-3.98	0.79	0.48	0.10	0.51	0.91	0.39	0.01	0.22	0.20
-3.98	0.79	0.48	0.10	0.51	0.91	0.39	0.01	0.22	0.20
-3.98	0.79	0.52	0.90	0.51	0.09	0.61	0.01	0.22	0.20
-3.98	0.79	0.48	0.10	0.51	0.91	0.39	0.01	0.22	0.20
